13.00-13.10,Preparation,Preparation,Preparation,13.25-13.30,Preparation,Preparation,13.00-13.10
,,,,,,,
2C (Ms. Dewi  and Ms. Rahayu),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,Mandarin,PC Session,07.45-08.00
08.00-08.35,Reacter,PSPE,IT,08.20-08.55,Mandarin,UoI,08.00-08.35
08.35-09.10,Reacter,PSPE,IT,08.55-09.30,Math,UoI,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,UoI,English A,VA,09.45-10.20,Library,English B,09.35-10.10
10.10-10.45,UoI,English A,UoI,10.20-10.55,Math,English B,10.10-10.45
10.45-11.20,BI,Math,UoI,10.55-11.30,Music/Singing,P.Pancasila,10.45-11.20
11.20-11.50,Break,Break,Break,11.30-11.50,Break,Break,11.20-11.50
11.50-12.25,BI,BI,English B,11.50-12.25,SEL,Math,11.50-12.25
12.25-13.00,Assembly,BI,English B,12.25-13.25,Excur,Math,12.25-13.00
13.00-13.10,Preparation,Preparation,Preparation,13.25-13.30,Preparation,Preparation,13.00-13.10
,,,,,,,
2D (Ms. Celine and Mr. Adhik),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,Math,PC Session,07.45-08.00
08.00-08.35,UoI,IT,Mandarin,08.20-08.55,Math,UoI,08.00-08.35
08.35-09.10,UoI,IT,Mandarin,08.55-09.30,BI,UoI,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,Reacter,PSPE,UoI,09.45-10.20,BI,Math,09.35-10.10
10.10-10.45,Reacter,PSPE,English B,10.20-10.55,Library,Math,10.10-10.45
10.45-11.20,English B,Math,English B,10.55-11.30,SEL,P.Pancasila,10.45-11.20
11.20-11.50,Break,Break,Break,11.30-11.50,Break,Break,11.20-11.50
11.50-12.25,English B,BI,VA,11.50-12.25,Music/Singing,English A,11.50-12.25
12.25-13.00,Assembly,BI,UoI,12.25-13.25,Excur,English A,12.25-13.00
13.00-13.10,Preparation,Preparation,Preparation,13.25-13.30,Preparation,Preparation,13.00-13.10
,,,,,,,
3A (Ms. Tina and Mr. Hendro),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,Assembly,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,IT,English B,English A,08.20-08.55,Math,BI,08.00-08.35
08.35-09.10,IT,English B,English A,08.55-09.30,Math,Library,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,P.Pancasila,Math,VA,09.45-10.20,English B,Math,09.35-10.10
10.10-10.45,Music,Singing,VA,10.20-10.55,English B,Math,10.10-10.45
10.45-11.20,UoI,Math,UoI,10.55-11.30,SEL,PSPE,10.45-11.20
11.20-11.55,UoI,Math,Break,11.30-11.50,BI,PSPE,11.20-11.55
11.55-12.25,Break,Break,BI,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,Mandarin,Reacter,BI,12.25-13.00,UoI,UoI,12.25-13.00
13.00-13.35,Mandarin,Reacter,Excur,13.00-14.00,UoI,UoI,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
3B (Ms. Etha and Ms. Rachelle),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,Assembly,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,UoI,Math,Reacter,08.20-08.55,English B,VA,08.00-08.35
08.35-09.10,UoI,Math,Reacter,08.55-09.30,English B,VA,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,Mandarin,English B,English A,09.45-10.20,PSPE,Library,09.35-10.10
10.10-10.45,Mandarin,English B,English A,10.20-10.55,PSPE,Math,10.10-10.45
10.45-11.20,Music,Singing,UoI,10.55-11.30,Math,Math,10.45-11.20
11.20-11.55,P.Pancasila,SEL,Break,11.30-11.50,Math,BI,11.20-11.55
11.55-12.25,Break,Break,BI,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,IT,Math,BI,12.25-13.00,UoI,UoI,12.25-13.00
13.00-13.35,IT,BI,Excur,13.00-14.00,UoI,UoI,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
3C (Ms. Icha and Ms. Kristiani),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,Assembly,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,Mandarin,English B,IT,08.20-08.55,BI,PSPE,08.00-08.35
08.35-09.10,Mandarin,English B,IT,08.55-09.30,SEL,PSPE,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,UoI,Math,Reacter,09.45-10.20,English A,BI,09.35-10.10
10.10-10.45,UoI,Math,Reacter,10.20-10.55,English A,Library,10.10-10.45
10.45-11.20,P.Pancasila,Math,UoI,10.55-11.30,Math,Math,10.45-11.20
11.20-11.55,Music,Singing,Break,11.30-11.50,Math,Math,11.20-11.55
11.55-12.25,Break,Break,BI,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,English B,VA,BI,12.25-13.00,UoI,UoI,12.25-13.00
13.00-13.35,English B,VA,Excur,13.00-14.00,UoI,UoI,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
3D (Ms. Fefe and Ms. Sherly),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,Assembly,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,UoI,Math,Mandarin,08.20-08.55,English A,Math,08.00-08.35
08.35-09.10,UoI,Math,Mandarin,08.55-09.30,English A,Math,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,English B,English B,IT,09.45-10.20,Math,PSPE,09.35-10.10
10.10-10.45,English B,English B,IT,10.20-10.55,Math,PSPE,10.10-10.45
10.45-11.20,Reacter,VA,UoI,10.55-11.30,Math,Library,10.45-11.20
11.20-11.55,Reacter,VA,Break,11.30-11.50,BI,BI,11.20-11.55
11.55-12.25,Break,Break,BI,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,Music,Singing,BI,12.25-13.00,UoI,UoI,12.25-13.00
13.00-13.35,P.Pancasila,SEL,Excur,13.00-14.00,UoI,UoI,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
3E (Ms. Natali and Ms. Renlin),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,Assembly,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,UoI,Math,VA,08.20-08.55,PSPE,Math,08.00-08.35
08.35-09.10,UoI,Math,VA,08.55-09.30,PSPE,Math,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,Reacter,Math,Mandarin,09.45-10.20,Math,IT,09.35-10.10
10.10-10.45,Reacter,BI,Mandarin,10.20-10.55,Math,IT,10.10-10.45
10.45-11.20,English B,English B,UoI,10.55-11.30,English A,BI,10.45-11.20
11.20-11.55,English B,English B,Break,11.30-11.50,English A,Library,11.20-11.55
11.55-12.25,Break,Break,BI,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,P.Pancasila,SEL,BI,12.25-13.00,UoI,UoI,12.25-13.00
13.00-13.35,Music,Singing,Excur,13.00-14.00,UoI,UoI,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
4A (Ms. Sharon and Mr. Kornel),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,UoI,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,PSPE,IT,UoI,08.20-08.55,Mandarin,Math,08.00-08.35
08.35-09.10,PSPE,IT,UoI,08.55-09.30,Mandarin,Math,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,English B,English B,Math,09.45-10.20,BI,English A,09.35-10.10
10.10-10.45,English B,English B,Math,10.20-10.55,BI,English A,10.10-10.45
10.45-11.20,SEL,Singing,Reacter,10.55-11.30,Math,BI,10.45-11.20
11.20-11.55,P.Pancasila,Library,Break,11.30-11.50,Math,BI,11.20-11.55
11.55-12.25,Break,Break,Reacter,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,UoI,Math,Assembly,12.25-13.00,UoI,VA,12.25-13.00
13.00-13.35,UoI,Music,Excur,13.00-14.00,UoI,VA,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
4B (Ms. Lia and Mr. Albert),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,UoI,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,UoI,BI,UoI,08.20-08.55,VA,English A,08.00-08.35
08.35-09.10,UoI,BI,UoI,08.55-09.30,VA,English A,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,PSPE,Math,Math,09.45-10.20,Mandarin,Reacter,09.35-10.10
10.10-10.45,PSPE,Music,Math,10.20-10.55,Mandarin,Reacter,10.10-10.45
10.45-11.20,P.Pancasila,Library,English B,10.55-11.30,Math,Math,10.45-11.20
11.20-11.55,English B,Singing,Break,11.30-11.50,Math,Math,11.20-11.55
11.55-12.25,Break,Break,English B,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,English B,IT,Assembly,12.25-13.00,UoI,BI,12.25-13.00
13.00-13.35,SEL,IT,Excur,13.00-14.00,UoI,BI,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
4C (Ms. Fosa and Ms. Meitha),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,UoI,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,P.Pancasila,Math,UoI,08.20-08.55,English B,Mandarin,08.00-08.35
08.35-09.10,SEL,Library,UoI,08.55-09.30,English B,Mandarin,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,English A,BI,English B,09.45-10.20,VA,Math,09.35-10.10
10.10-10.45,English A,BI,English B,10.20-10.55,VA,Math,10.10-10.45
10.45-11.20,PSPE,IT,Math,10.55-11.30,Math,Reacter,10.45-11.20
11.20-11.55,PSPE,IT,Break,11.30-11.50,Math,Reacter,11.20-11.55
11.55-12.25,Break,Break,Math,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,UoI,Music,Assembly,12.25-13.00,UoI,BI,12.25-13.00
13.00-13.35,UoI,Singing,Excur,13.00-14.00,UoI,BI,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
4D (Mr. Ferdi and Ms. Pinta),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,UoI,07.45-08.20,PC Session,PC Session,07.45-08.00
08.00-08.35,SEL,BI,UoI,08.20-08.55,Reacter,English B,08.00-08.35
08.35-09.10,P.Pancasila,BI,UoI,08.55-09.30,Reacter,English B,08.35-09.10
09.10-09.35,Break,Break,Break,09.30-09.45,Break,Break,09.10-09.35
09.35-10.10,UoI,Music,Math,09.45-10.20,Math,Mandarin,09.35-10.10
10.10-10.45,UoI,Library,PSPE,10.20-10.55,Math,Mandarin,10.10-10.45
10.45-11.20,English A,English B,PSPE,10.55-11.30,IT,VA,10.45-11.20
11.20-11.55,English A,English B,Break,11.30-11.50,IT,VA,11.20-11.55
11.55-12.25,Break,Break,Math,11.50-12.25,Break,Break,11.55-12.25
12.25-13.00,BI,Singing,Assembly,12.25-13.00,UoI,Math,12.25-13.00
13.00-13.35,BI,Math,Excur,13.00-14.00,UoI,Math,13.00-13.35
13.35-13.45,Preparation,Preparation,Preparation,14.00-14.05,Preparation,Preparation,13.35-13.45
,,,,,,,
5A (Mr. Christian and Mr. Percy),,,,,,,
Time 1,Monday,Tuesday,Wednesday,Time 2,Thursday,Friday,
07.45-08.00,PC Session,PC Session,PC Session,07.45-08.20,English B,PC Session,07.45-08.00
08.00-08.35,Math,Assembly,BI,08.20-08.55,English B,Mandarin,08.00-08.35
08.35-09.10,Math,BI,BI,08.55-09.30,Math,Mandarin,08.35-09.10
09.10-09.45,VA,PSPE,Math,9.30-10.05,Math,Math,09.10-09.45
09.45-10.20,VA,PSPE,Math,10.05-10.20,Break,Math,09.45-10.20
